,0
Flow,flow
Diameter,diameter
Status,lp_status
Knude ID,knudeid
Område,omraade
Antal børn,antalboerne
Opsamlingsadresse,opsamlingsadresse
Ejerforhold,ejerforhold
Åbningstid,toilet_aaben_tid
Leder,ledernavn
Telefon,enhedstelefonnr
Email,''
Hjemmeside,hjemmeside
Projekttype,pv_projekt_type
Projektbeskrivelse,beskrivelse_af_projekt
Kontakt,kontakt
Tlf,pv_tlf
Projekt start,start_dato
Projekt slut,slut_dato
Antal forløb pr. rode,antal_forloeb
Bydel,bydel
Lovgrundlag,lovgrundlag
Aktiveringskategori,tilbudskategori
"Antal borgere, der modtager ydelse",antal_borgere
Projekt,projekt
Læs mere i projektbanken,link
Type,type
Vejnavn,vejnavn
Hus nr,husnr
Juridisk grundlag,juridisk_grundlag
Kontakt telefon,kontakttelefon
Kontakt person 1,Kontaktperson_1
kontakt mail,kontakt_mail
Hyperlink,hyperlink_kan_kun_postes_paa_k
Institutionsstype,insttype2
Institutionstype,insttype1
Myndighed,myndighed_fuldt_navn
Myndighed forkortet,forkortet
Kontakt mail,kontakt_mail
Kontaktperson 1,kontaktperson_1
Kontaktperson 1 tlf.,kp1_tlf
Kontaktperson 1 mail,kp1_mail
Kontaktperson 2,kontaktperson_2
Kontaktperson 2 tlf.,kp2_tlf
Kontaktperson 2 mail,kp2_mail
Kontaktperson 3,kontaktperson_3
Kontaktperson 3 tlf.,kp3_tlf
Kontaktperson 3 mail,kp3_mail
Kontaktperson 4,kontaktperson_4
Kontaktperson 4 tlf.,kp4_tlf
Kontaktperson 4 mail,kp4_mail
Kontaktperson 5,kontaktperson_5
Kontaktperson 5 tlf.,kp5_tlf
Kontaktperson 5 mail,kp5_mail
Kontaktperson 6,kontaktperson_6
Kontaktperson 6 tlf.,kp6_tlf
Kontaktperson 6 mail,kp6_mail
Link,link
"Gennemsnitligt antal borgere, der modtager ydelse",gennemsnitligt_antal_sager
"if IsDefined(shape_wkt) then GeometryType(shape_wkt) else 
				""GEOMETRY UNDEFINED"" endif",pcolid
About,beskrivelse
Read more on the City of Copenhagen website,pdf_link
Navn,NAVN
Tidsramme,tidsramme
Indsats,indsats
Klik for mere information,link
Forventet start,forventet_start
Forventet slut,forventet_slut
Yderligere info,yderligere_info
Link til projektbeskrivelse,link_til_projbesk
Samarbejdspartner,samarbejdspartner
Noter,noter
Sidst opdateret,sidst_opdateret
Ejer,ejer
Link til regulativ,linktilregulativ
Vej,vejnavn
Længde,længde
Bredde,bredde
Cykelsti type,beskrivelse
Vejstatus,vejstatus
Antal pladser,antal_pladser
P ordning,p_ordning
Parkerings type,p_type
Rettelse dato,rettelsedato
Bemærkning,bemÆrkning
Betalingszone,betalingszone
Antal udtag,antal_udtag
Operatør,operator
Bemærkninger,bemaerkninger
KK-org nr,kkorgnr
Enhedsnavn,enhedsnavn
Enhedstype,enhedstype
Forvaltning,forvaltning
Postnummer,postnummer
Læs mere her,www
Opland,opland
Postdistrikt,postdistrikt
Ejerstatus,ejer_status
Vejkode,vejkode
Husnr,husnr
P-zone,p_zone
Beboerzone,beboer_zone
Placering,placering
Ejerlavskode,ejerlavkode
Rettet dato,opret_dato
Boldbanens type,boldbane_type
Sæson,saeson
Driftsplan,Driftsplan_navn
Parknavn,parknavn
Id,id
Legepladstype,
Beliggenhed,adressebeskrivelse
Beskrivelse,beskrivelse
Læs mere om legepladsen på kk.dk,link_kkdk
Lokalitet,lokalitet
Opsyn,opsyn
Handicapadgang,handicapadgang
Mandag,mandag
Tirsdag,tirsdag
Onsdag,onsdag
Torsdag,torsdag
Fredag,fredag
Lørdag,loerdag
Søndag,soendag
Bemærkning til åbningstid,aabningstid_bemrk
Anden bemærkning,anden_bemaerkning
Ejerskab,EJERSKAB
Stoppestednavn,name
Buslinjer,buslist
Takstzone,tariffzone
Vis PDF-fil af tinglysningskort,link
Stedbeskrivelse,beskrivelse
Tælle type,taellested_type
Antal køretøjer,ktj_7_19
Tung %,tung_pct
Årsdøgnstrafik (ÅDT),aadt_koretojer
Hverdagsdøgn (HVDT),hvdt_koretojer
Antal cykler,cykler_7_19
ÅDT cykler,aadt_cykler
HVDT cykler,hvdt_cykler
Distrikt,distriktnavn
Ansvarsområde id,ansvarsomrid
Årsag,forpligtelsesaarsag
Opgave,arbejdsopgave
Rute nr.,rutenr
Rutenavn,rutenavn
Stationstype,objekt_type
Projekt ID.,projektid
TMF ID.,tmfid
Ansvarlig,ansvarlig
Note,note
Link til projektet på KK.dk,link
Budgetår,budgettema
ID,cell_key
Forslagsår,forslags_aar
Projektpakke,projekt_pakke
Projektnr,projekt_nr
Projektnavn,fk_projektnavn
Udstrækning,Udstraekning
Kategori,kategori
Bro/tunnel,bro_tunnel
Kryds,kryds
Projektpris (skøn),projektpris_skoen
P-omkostninger,
Provenuetab,p_provenuetab
Behov for nedlæggelse,p_behov_nedlaeg
Biltrafik,biltrafik
Cykeltrafik,cykeltrafik
Del af Plusnet,del_af_plusnet
Del af Grøn Rute,del_af_groen_rute
Del af Cykelsupersti,del_af_cykelsupersti
Stjerne beløb,stjerne_beloeb
Cykler i spidstimen,cykler_i_spidstimen
Bygværkstype,btype
Sagsnr,sagsnr
Sagsnavn,sagsnavn
Ejes af.,ejes_af
Vedligeholdes af,vedlh_af
Vedligehold regn,vedlh_regn
Opført år,opfoert_aar
Genopretning år,genopraetning_aar
Tilsyn 1,tilsyn1
Tilsyn 2,tilsyn2
Frihøjde ind,frihoejde_ind
Frihøjde ud,frihoejde_ud
Bæreevne,baereevne
ID.,id
Vej id,vej_id
Side,side
Fra stationering,fra_st
til stationering,til_st
Materiale,materiale
År,aar
Bane,bane
Produkt,produkt
Investering,investering
Akk,akk
BC,bc
AG nr.,ag_nr
Krydsets  navn,krydsets_navn
Gruppe nr.,gruppe_nr
Drift,drift
Tælleområde nr,taelleomraade
Zone,zone
Antal mulige nye P-pladser,mulige_pladser
Antal mulige nye P-pladser i omr.,samlet_pladser_omr
KK-org ID,kkorg_id
Åbningstider,d_openinghours
Præsentationsfolder,d_praesentationsfolder
Smileryrapport,d_smileyrapport
Ejeradresse,ejer_adresse
Antal værelser,antvaer
Køkkenforhold,koekkenforhold
Toiletforhold,toiletforhold
Badforhold,badforhold
Boligselskab,selskabsnavn
Selskabsinfo,selskabsnr
Primær boligtype,primboligtype
Ejendoms nr,ejendomsnr
Boligtype,boligtype_tekst
Antal beboere i enheden,antal_beboere
Boligarealet,samareal
Opførelsesår,opfoerelsesaar
Del af udsat byområde,udsatte_byomraade
Skolegrunddistrikt,skolenavn
Antal boliger i alt,bolig
Antal almene boliger,almene
Andel almene boliger (%),procent
Samlet afdelings matrikel areal,netto_areal
Gemmesnits husleje per afd.,gns_husleje
Antal enheder per afd.,antal_enheder
Antal uden husleje angivelse,husleje_fejl
Antal enheder under 3500,husleje_under_3500
Antal enheder 3500-5000,husleje_3500_5000
Antal enheder 5000-6500,husleje_5000_6500
Antal enheder over 6500,husleje_over_6500
Samlet enhedsareal,enh_arl_saml
Ejendomsnr,ejendomsnr
Afgørelsen,afgoerelse
Energimærkning,energi_label_type_klasse
Energi rapport valid fra,valid_fra
Energi rapport valid til,valid_til
Energi selskabsnavn,selskabsnavn
Se energimærkningsrapport her: (OBS! tillad popups),pdf_link
Ejendomsnr.,ejendomsnr
Bygning nr.,bygningsnr
Bygningsanvendelse,anvendelse
Opført/Sidst renoveret,energi_aar
Varmeinstallation,varmeinstallation
Samlet bygningsareal,samlet_bygningsareal
Bebygget areal,byg_bebyg_arl
Bevaringsværdi,bevaringsvaerdi
Bygnings ID,byg_id
Byfornyelses ID,byf_id
Vedtaget byråd,vedtaget_br
Regnskab godkendt,regnskab_godkendt
Berørte matrikler,matr_nr
Bygningsnr,bygnings_nr
Fredningsstatus,fredningsstatus
Bevaringsværdi SAVE,bevaringsvaerdi
Bevaringsbeskrivelse,bevarings_beskriv
Kulturstyrelsens Bygn id,byg_save_id
Anvendelse,anvendelse
Opførselsår,opfoerelsesaar
Se fredningsbeskrivelse direkte fra kulturstyrelsen,frednings_beskrivelse
Betegnelse,betegnelse
Bygnings type,bygnings_type
Oprindelig funktion,oprind_funktion
Nuværende funktion,nuv_funktion
Bevarings vurdering,bevarings_vurdering
Arkitekt vaerdi,arkitekt_vaerdi
Arkitekt vurdering,arkitekt_vurdering
Kulturhistoriske vaerdi,kulturhist_vaerdi
Kulturhistoriske vurdering,kulturhist_vurdering
Miljø vaerdi,miljoe_vaerdi
Miljø vurdering,miljoe_vurdering
Originalitetsvaerdi,originalitetsvaerdi
Originalitetsvurdering,originalitetsvurdering
Tilstandsvaerdi,tilstandsvaerdi
Tilstandsvurdering,tilstandsvurdering
Karrenavn,karrenavn
Vedtaget i BR/TMU/BM,vedtaget_br
Registrerings dato,reg_dato
Saneringsplan nr,saneringsplan_nr
Antal boliger (baseret på antal lejligheder med/uden køkken),antal_lejl
Cykel parkering,cykel_parkering
Antal træer,antal_traeer
Antal nedlagte P-pladser,nedlagte_p_pladser
Regnvandshåndtering,regnvandshaandtering
Udsat byområde,uds_omraade_navn
Ghettotype,ghettotype
Plan navn,plannavn
Afdeling,afdeling
Helhedsplan,helhedsplan
Højde,nav_hoejde
Nr,rute_nr
Afsnit,afsnit
Projektleder,pl
Se startredegørelsen her,startredegoerelse_link
Lokaludvalgsprojekt,lokaludvalgsprojekter
Tema,tema
Implementering,implementering
Emneord,emneord
Økonomi,oekonomi_tekst
Årstal,aarstal
karrenr,karre
Vis byplanvedtægt '+trim(plannr),link
Plan nr,plannr
Modtaget,modtaget
eDoc Sagsnr,esdh_ref
Sagstype,sagstype
Sagsstatus,sags_status
Hovedejer navn,hovedejer_navn
Ansøger navn,ansoeger_navn
Ejerlejlighedsnummer,ejerlejlighedsnummer
Sagsadresse,sagsadresse
Sagen seneste håndteret af,aktivitetsbehandler_fra_senest_aabnede_aktivitet
Sagskategori,sagskategori
Post nr.,postnr
Kontaktperson,dato_for_udfoerelse
Nødafkast,noedafkast
Kode,sognkode
ESR ejendomsnr.,esr_ejdnr
SFE ejendomsnr.,sfe_ejdnr
Matrikelnr.,matrikelnr
Ejerlavsnavn,ejerlavsnavn
Feature ID,feat_id
Planteår,planteaar
Vejklasse,vejklasse
Objekt type,objekt_type
Vis A-deklaration '+trim(navn),link
Servituttype,servituttype
Påtegninger,paategninger
Generel anvendelse,generel_anvendelse
Retningsplan,retningsplan
Begrænset anvendelse,begr_anvendelse
Udvidet anvendelse,udvidet_anvendelse
Bebyggelsesform,bebyggelsesform
Maksimal antal etager,maksimal_antal_etager
Bebyggelsesreg 1,bebyggelsesreg_1
Afstand til skel,afstand_til_skel
Bebyggelsesreg 2,bebyggelsesreg_2
Udformning af tagetage,udformning_af_tagetage
Udnyttelse af tagetage,udnyttelse_af_tagetage
Max bebygget areal,max_bebygget_areal
Max udnyttelsesgrad,max_udnyttelsesgrad
Udhuse,udhuse
Afstand til vej,afstand_til_vej
Facadecensur,facadecensur
Ulempebestemmelser,ulempebestemmelser
Friarealforhold,friarealforhold
Byrder 1,byrder_1
Byrder 2,byrder_2
Byrder 3,byrder_3
Hovedindhold,hovedindhold
P_dekl,p_dekl
Naturfredning,naturfredn
Naturfredning bebyggelse,naturfredn_bebyg
Afstand fra,afstand_fra
Sammenbyg,sammenbyg
Afstandskrav,afstandskrav
Etageareal,etageareal
Haveanlæg,haveanlaeg
Grundejerforening,grundejerforening
Reklamer,reklamer
Notat 1,notat_1
Notat 2,notat_2
Notat 3,notat_3
Deklaration,deklaration
Jodstykke type,feat_type
Matrikelnr,matrikel_nr
Artskode,artskode
Ejerforholdskode,ejerforholdskode
Zonetype,zonetype
Vis romertals-deklaration '+trim(navn),link
Vis skødeservitut '+trim(navn),link
Billede,picture_nr
Foto dato,dato
Tid,gps_time
Husnummer,husnr
Ejendoms nr.,ejendomsnummer
Bygnings nr.,bygningsnummer
Opførelses år,opfoerelse_aar
Bygnings status,objektstatus
Antal husstande,husstand
Bygningnr,bygningsnr
Bygnings Id,byg_id_org
Byggesags Journalnr,b_jnr
Opførselår,opfoerelse_aar
Geometri status,geometri_status
Tag konstruktion,tagdaekning
Byggesagsnr,byggesags_id
Objekttype,obj_type
Objektstatus,objekt_status
FOT Id,fot_id
Metode,metode_3d
Målested bygning,maalested_bygning
Objekt status,objekt_status
Anvendt applikation,applikation
Forretningshændelse,forretningshaendelse
Registreringsaktør,registreringsaktoer
Bolig areal,byg_bolig_arl_saml
Erhvervs areal,erhv_arl_saml
BBR punkt,bbrpkt
Synlighed,objekt_under
Evt. navn,navn
Aftalepart,aftalepart
Aftale,aftale
Estimeret_anlægsomkostning,estimeret_anlaegsomkostning
Garantistillelse,garantistillelse
Dagbod,dagbod
Overdragelse til CTR,overdragelse_til_ctr
Tinglysning,tinglysning
Aftale nr,aftale_nr
EDOc nr,eDoc_nr
Areal forpligtigelse,areal_forpligtigelse
Forventet aflevering,forventet_aflevering
BR,br
EDOC før 2017,edoc_foer_2017
EDOC efter 2017,edoc_efter_2017
Strøm,pladselement_stroem
Belægning,belaegning
Krav,pladselement_saerligkrav
Bygningsnr.,bygningsnr
byg_id,byg_id
Solgruppe,solgruppe
Max samlet areal i solgruppen,max_samlet_areal_solgruppe
Straekning,straekning
Projekt år,prj_aar
Nye P-pladser,nye_p_pladser
Erstatnings P-pladser,erstatnings_p_pladser
Projekt status,status_beskrivelse
Aftalegrundlag,aftalegrundlag
Aftalegrundlag tekst,aftalegrundlag_txt
Tidshorisont,aftalegrundlag_txt
Beliggenhed.,ejendom_beliggenhed
Ejerens navn,ejer_navn
Administratorens navn,admin_navn
Sted beskrivelse,adresse_beskrivelse
Anvendelse eller lejer,anvendelse_og_lejer
Antal P pladser,p_pladser
Antal frie P-pl.,frie_pl
Antal elbil pl.,elbil_pl
Antal ladestander udtag,ladestander_udtag
Antal ledige elbil pladser,ledige_elbil_pl
Antal elbiler,antal_elbiler
Antal biler i alt,antal_biler_total
Stednavn,stednavn
ID nummer,id
Rutetype,rutetype
Kajejer.,kaj_ejer
Husbådnavn,navn
Husbådtype,type
Virksomhed,virksomhed
Information,note
Dybde,dybde
Alle blomsterplanter,blomsterpl
Kransnålalger,kransnaela
Havgræs,havgraes
Vandkrans,vandkrans
Undernavn,undernavn
Fredning,fredning
Parknr.,parknummer
Bassinnavn,bassinnavn
Kajnavn,kajnavn
Link til hjemmeside,link
Label,label
Udløbstype-kode,udloebstype_kode
Overløb status,overloeb_pr_aar_status
Overløb plan,overloeb_pr_aar_plan
Vandmængde status,vandmaengde_status
Vandmængde plan,vandmaengde_plan
Indberetter,indberet
"""pcolid""",oid
Typ,requesttype
Graveart,graveart
Graveformål,graveformaal
Der graves på kørebanen,start_dato
Der graves på fortovet,end_dato
Der graves på cykelstien,reetableringsplan
Reetableres,bygherrenavn
Kommentar,kommentar
Intern kommentar,entrepnavn
Bygherrenavn,entrepkontaktperson
Byplan navn,bp_navn
Byplan nummer,bp_nr
Om Byplaner på kk.dk,pdf
Selskab,selskab
Områdetype,kp_ramme_11
Risikogruppe,risikogruppe
Helhed mio,helhed_mio
Om Boligsociale helhedsplaner på kk.dk,hjemmeside
Projekt sted,adresse
Projekt titel,titel
Projekt beskrivelse,beskrivelse
Politisk aftale,politisk_aftale
Samlede budgetudgifter 2014-18 (i 1.000 kr.),samlede_budgetudgifter
Budgetudgifter 2014 (i 1.000 kr.),udgifter_14
Budgetudgifter 2015 (i 1.000 kr.),udgifter_15
Budgetudgifter 2016 (i 1.000 kr.),udgifter_16
Budgetudgifter 2017 (i 1.000 kr.),udgifter_17
Budgetudgifter 2018 (i 1.000 kr.),udgifter_18
Fysisk igangsat,fysisk_igangsat
Forventet ibrugtagningstidspunkt,dato_for_ibrugtagning
Projekt nr.,projketnr
Arrangement start,arr_start
Arrangement slut,arr_slut
Ansøgersnavn,ansoeger_navn
Ansøgers kontaktperson,ansoeger_kontaktpers
Ansøgers telefon,ansoeger_kontakttele
Arrangement beskrivelse,arrangement_beskrivelse
Bemærkning til sted,bemaerkning_til_sted
Oprettet,Oprettet
Opsætning start,opsaetning_start
Nedtagning slut,nedtagning_slut
Ansøgers kontaktinfo,ansoeger_kontaktinfo
Reservationstatus,reservationstatus
Forventet deltagerantal,forventet_deltagerantal
Materiale/udstyr,materiale_udstyr
Afspilning af lyd/musik,afspilning_af_lyd_musik_speak
edoc sagsnummer,esdh_nummer
Objekt,pladselement_note
Kortelement,type
Event type,event_type
Elementtype,kat_2
Distance,kat_4
Tidsrum,tidsrum
Sted,sted
Klik her for mere info,plads_link
Arrangement type,event_type
Plads,plads
Udtag 1,udtag_1
Udtag 2,udtag_2
Udtag 3,udtag_3
Udtag 4,udtag_4
Udtag 5,udtag_5
Udtag 6,udtag_6
Planperiode,objekt_type
Udbygningstype,objekt_type
Samlede budgetudgifter 2017-21 (i 1.000 kr.),samlede_budgetudgifter
Budgetudgifter 2019 (i 1.000 kr.),udgifter_19
Budgetudgifter 2020 (i 1.000 kr.),udgifter_20
Budgetudgifter 2021 (i 1.000 kr.),udgifter_21
Projekt type,projekt_type
Projektnr.,projektid
Læs mere om projektet på kk.dk,link
Drift type,element
Belægningstype,belaegningstype
Drift tiltag,tiltagsnav
Drift år,aar
Vejside,side
Fra,fra
Til,til
Vej_id,vej_id
Udførelsesår,udfoerelsesaar
Produkt type,produkt
Lag tykkelse,tykkelse
Ulagt år,udlagt
Udlagt år,udlagt
Drift status,status
Udbudsnavn,udbudsnavn
Beregningsår,beregningsaar
Aktivitetsgruppe,aktivitetsgruppe_navn
Gruppenummer,gruppenummer
Typenummer,type_nummer
Tiltagsnavn,tiltagsnavn
Mængde,maengde
Vejnr,vejnr
Lane,lane
Laneoffset,laneoffset
From chainage,fromchainage
To chainage,tochainage
cmroadsid,cmroadsid
roactivityid,roactivityid
ID1,id1
Matrikel nummer,matr_nr
Ejerlav,ejerlavsnavn
Ejerlavs kode,ejerl_kode
Revisions dato,rev_dato
Enhedens ejendoms nr,tostring(enheds_ejendomsnummer)
Enhedens Ejerlejlighedsnr,ejerlejligheds_ejendomsnummer
Opførsels år,tostring(opfoerelse_aar)
Enheds anvendelse,enhanvendelse
Enheds boligtype,boligtype
Enheds udlejningsforhold,enhudlejningforhold
Enheds samlet areal,enh_arl_saml
"if IsDefined(shape_wkt) then GeometryType(shape_wkt) else 
                ""GEOMETRY UNDEFINED"" endif",pcolid
Ejendomsnummer,ejendomsnummer
Bygningsnummer,bygningsnummer
Antal beboelseslejligheder,AntalHustande
Primær anvendelse,prim_anvendelse
Tidligere administrator,tidl_admin
Bruger,bruger
Adressebeskrivelse,adresse
Antal rum,antal_rum
Udlejningsstatus,udlejet
Kontakt - Georg Christiansen: tlf,'33431460'
Klassifikation,Tek_Klassifikation
Etableringsår,Etableringsaar
Olietankkilde,olietankkilde
Tanktype,TankType_Tekst
Tankindhold,TankIndhold_Tekst
Sidst renoveret,opf_renov_aar
Supplerende tagkonstruktion,supp_tag_konst
Bygningnummer,bygningsnummer
Nedrivnings status,nedriv
Evt. halvtag,halvtagtype
Slettet,system_dato
Bygning BBR,objekttype
Fabrikat,fabrikat
Stoerrelse,Stoerrelse
Størrelsesklasse,Stoerrelsesklasse_Tekst
Ombygningsår,ombyg_aar
Sjøfning,Sloejfning_Tekst
Sjøfningsdato,SloejfFristDato
Nøjagtighed,nøjagtighed
EjendomsNummer,EjendomsNummer
TekniskAnlaegNummer,TekniskAnlaegNummer
MatrikelNummer,MatrikelNummer
MatrikelArt,MatrikelArt
Effekt i KW,EffektKW
Teknisk anlæg nummer,TekniskAnlaegNummer
Matrikelnummer,MatrikelNummer
Matrikelart.,MatrikelArt
Landsejerlavkode,LandsejerlavKode
Ejeren,navn
Tilslutnings dato,tilslutnings_dato
Kapacitet,kapacitet
Rotor diameter: ø,rotor_diam
Navhøjde,nav_hoejde
Typebetgenelse,type
Type af Placering,placering
Netsleskabets Installations nr,install_nr
Produktions tal for 2011 (kWh),prod_tal_2011
Opstillingskreds nr,opstillingskredsnummer
Afstemningsområde nr,afstemningsomraadenummer
Bydel nr.,bydel_nr
Bydelsnavn,bydelsnavn
Rode nr,rode_nr
Valgsted,valgsted
E-mail,e_mail
